Date Pub,Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Prix
il y a 7 heures,Casablanca,2019,Automatique,Diesel,80 000 - 84 999,Volvo,V40,5,WW au Maroc,Non,8 CV,Excellent,197 000 DH
il y a 7 heures,Marrakech,2017,Manuelle,Essence,100 000 - 109 999,Peugeot,208,5,WW au Maroc,Oui,6 CV,Excellent,93 000 DH
il y a 7 heures,Casablanca,2022,Manuelle,Diesel,100 000 - 109 999,Renault,Trafic,5,WW au Maroc,Non,6 CV,Très bon,305 000 DH
il y a 7 heures,El Kelâa des Sraghna,2014,Manuelle,Diesel,Plus de 500 000,Nissan,Qashqai,5,WW au Maroc,Non,6 CV,Très bon,153 000 DH
il y a 7 heures,Agadir,2022,Manuelle,Diesel,95 000 - 99 999,Renault,Express,5,WW au Maroc,Oui,6 CV,Très bon,148 000 DH
il y a 7 heures,Casablanca,2021,Automatique,Diesel,80 000 - 84 999,Renault,Kadjar,5,WW au Maroc,Oui,6 CV,Excellent,229 000 DH
il y a 7 heures,Rabat,2017,Manuelle,Essence,45 000 - 49 999,Opel,Corsa,5,WW au Maroc,Non,7 CV,Excellent,110 000 DH
il y a 7 heures,Casablanca,2023,Automatique,Diesel,45 000 - 49 999,Mercedes-Benz,Classe CLA,5,,Oui,8 CV,Excellent,525 000 DH
il y a 7 heures,Laâyoune,2015,Automatique,Diesel,170 000 - 179 999,Hyundai,Santa Fe,,Importée neuve,Non,8 CV,Très bon,170 000 DH
il y a 7 heures,Casablanca,2019,Manuelle,Diesel,40 000 - 44 999,Fiat,Ducato,5,WW au Maroc,Oui,9 CV,Très bon,168 000 DH
il y a 7 heures,Casablanca,2023,Manuelle,Diesel,50 000 - 54 999,Jeep,Renegade,5,WW au Maroc,Oui,6 CV,Excellent,195 000 DH
il y a 7 heures,Rabat,2019,Manuelle,Diesel,140 000 - 149 999,Nissan,Qashqai,3,Dédouanée,Oui,6 CV,Très bon,210 000 DH
il y a 7 heures,Casablanca,2014,Automatique,Diesel,180 000 - 189 999,Peugeot,508,5,WW au Maroc,Non,8 CV,Excellent,133 000 DH
