Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,Prix
Casablanca,2022,Automatique,Hybride,124999.5,Toyota,Corolla,5.0,WW au Maroc,Non,10,207000
Tétouan,2023,Automatique,Diesel,32499.5,BMW,Série 5,5.0,WW au Maroc,Non,9,440000
Casablanca,2018,Automatique,Diesel,114999.5,Volvo,XC90,5.0,WW au Maroc,Oui,9,325000
Marrakech,2020,Automatique,Diesel,97499.5,Dacia,Duster,5.0,WW au Maroc,Non,6,180000
Tanger,2011,Automatique,Diesel,274999.5,Volkswagen,Touran,5.0,Dédouanée,Non,8,168000
Meknès,2017,Manuelle,Diesel,134999.5,Ford,Kuga,5.0,WW au Maroc,Non,8,173000
Rabat,2023,Automatique,Diesel,52499.5,Volkswagen,T-Roc,5.0,WW au Maroc,Oui,8,283000
Rabat,2010,Automatique,Diesel,22499.5,BMW,X5,5.0,Importée neuve,Non,11,100000
El Jadida,2008,Manuelle,Essence,194999.5,Ford,Focus,5.0,WW au Maroc,Non,9,55000
Casablanca,2022,Automatique,Diesel,62499.5,Hyundai,Tucson,5.0,WW au Maroc,Oui,6,295000
Casablanca,2015,Automatique,Diesel,194999.5,Ford,Fusion,5.0,WW au Maroc,Oui,8,155000
Marrakech,2014,Manuelle,Essence,134999.5,Hyundai,i10,5.0,WW au Maroc,Non,6,74000
Fès,1994,Manuelle,Diesel,12499.5,Mercedes-Benz,210,5.0,WW au Maroc,Non,9,13000000
Béni Mellal,2023,Automatique,Diesel,57499.5,Citroën,C4,5.0,WW au Maroc,Oui,6,230000
Casablanca,2021,Manuelle,Diesel,154999.5,Renault,Express,5.0,WW au Maroc,Oui,6,137000
Larache,2022,Manuelle,Diesel,37499.5,Opel,Corsa,5.0,WW au Maroc,Oui,6,156000
Casablanca,2015,Manuelle,Diesel,144999.5,Dacia,Duster,5.0,WW au Maroc,Oui,6,133000
Casablanca,2022,Automatique,Diesel,82499.5,Volkswagen,Tiguan,3.0,Dédouanée,Oui,8,379000
Casablanca,2023,Automatique,Diesel,92499.5,BMW,X5,5.0,WW au Maroc,Oui,8,650000
Rabat,2017,Automatique,Diesel,174999.5,Mercedes-Benz,Classe E,5.0,WW au Maroc,Non,9,285000
